DRAFT - Annual Report data for 2011/12.,,,,Usage,,,,,,,,,,,,,,,,,,,,,,,,,Additional Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Yearly Total,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.bpex.org/,British Pig Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.broads-authority.gov.uk,Broads Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.ccwater.org.uk/,Consumer Council for Water,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.dartmoor-npa.gov.uk/,Dartmoor National Park Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.dwi.defra.gov.uk,Drinking Water Inspectorate,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.effp.com/,English Farming and Food Partnerships (EFFP),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.environment-agency.gov.uk/,Environment Agency,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.exmoor-nationalpark.gov.uk/,Exmoor National Parks Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.fawc.org.uk/,Farm Animal Welfare Council (FAWC),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.gla.defra.gov.uk,Gangmasters Licensing Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.iwac.org.uk/,Inland Waterways Advisory Council,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.intermet.csl.gov.uk/,InterMet - Weather Data to Inform Crop Management Decisions,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.keepbritaintidy.org/,Keep Britain Tidy,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.lakedistrict.gov.uk/,Lake District National Park ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.landshapes.org/index.php?fuseaction=home.main,LANDshapes,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.limestone-pavements.org.uk/,Limestone Pavement Conservation,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.livingriver.org.uk/,Living River,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.lbp.org.uk/,London Biodiversity Partnership,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.magic.defra.gov.uk/,MAGIC ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.naei.defra.gov.uk/,National Atmospheric Emissions Inventory ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.ncppb.com/,National Collection of Plant Pathogenic Bacteria,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.nationalforest.org/,National Forest Company,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.nationalparks.gov.uk/,National Parks,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.netregs.gov.uk/,Netregs,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.environment-agency.gov.uk/netregs/,NetRegs,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.newforestnpa.gov.uk/,New Forest National Parks Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.nebiodiversity.org.uk/,Northeast Biodiversity Programme,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.northumberlandnationalpark.org.uk/,Northumberland National Park,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.peakdistrict.org/,Peak District National Parks Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.kew.org/,"Royal Botanic Gardens, Kew",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.sebiodiversity.org.uk/,South East Biodiversity Forum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.sd-commission.org.uk/,Sustainable Development Commission,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.ukcip.org.uk/,UK Climate Impacts Programme (UKCIP) ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.wastedirectory.org.uk,Waste Directory,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.wmbp.org/,West Midlands Biodiversity Partnership,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.yorkshiredales.org.uk/,Yorkshire Dales National Parks Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFE,www.adoptionresearchinitiative.org.uk/,Adoption Research Initiative ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFE,www.childrenact1989regstraining.walkgrove.co.uk/,Care in Practice : Revised Legal Framework for Looked After Children,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFE,www.learnerpanel.co.uk/,The Learner Panel,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFE,www.refernet.org.uk,ReferNet - the European network of reference and expertise in Vocational Education and Training,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFE,www.schoolfoodtrust.org.uk/,School Food Trust,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFT,www.directlyoperatedrailways.co.uk/html/index.php,Directly Operated Railways,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DFT,www.lowcvp.org.uk/,Low Carbon Vehicle Partnership,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.ccpanel.org.uk/, Co-operation and Competition Panel,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.arsac.org.uk/,Administration of Radioactive Substances Advisory Committee,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.appointments.org.uk/,Appointments Commission,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.pharmacopoeia.gov.uk/,British Pharmacopoeia (BP),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.pharmacopoeia.co.uk/,British Pharmacopoeia Commission (BCP),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.ct-toolkit.ac.uk/,Clinical Trials Toolkit,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.iacoc.org.uk/,"Committee on Carcinogenicity of Chemicals in Food, Consumer Products and the Environment",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.comare.org.uk/,Committee on Medical Aspects of Radiation in the Environment (www.comare.org.uk),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.iacom.org.uk/index.htm,"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment (COM)  ",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.comeap.org.uk/,Committee on the Medical Effects of Air Pollutants (COMEAP) ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.communityhealthpartnerships.co.uk/,Community Health Partnerships,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.chre.org.uk/,Council for Healthcare Regulatory Excellence,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.griffininvestigation.org.uk/,E.coli O157 Independent Investigation,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.east-of-england-rdsu.org.uk/,East of England Research and Development Sub Unit,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.ehic.org.uk/Internet/home.do,European Health Insurance Card,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.health4work.nhs.uk/,Health for Work Adviceline for Small Businesses,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.hpc-uk.org/,Health Professions Council,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.ehealthlearning.org.uk/arena/index.cfm,Health Protection Agency eHealth,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.hpa-midas.org.uk/,Health Protection Agency Microbiological Diagnostics Assessment Service,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.hpa-nw.org.uk/,Health Protection Agency North West,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.hpa-radiationservices.org.uk/  ,Health Protection Agency - Radiation Services,,,,,,,,,,,,,0,,,,,,,,,,,,,"The hpa-radiationservices site is a Business to Business (B2B) site.  It is our primary marketing and awareness tool.  It links a number of consultancy, training and software ecommerce sites into one location enabling an effective form of marketing and cross selling opportunities.  It is the ONLY mechanism for purchasing our training and therefore supports income in excess of £1m, the sites also link to an established course booking system which has significantly improved the effiencies of the back office function.  The software packages (IMBA & PC CREAM) are also bought, downloaded and maintained through the websites.  IMBA brings in ~£70k pa and PC CREAM ~£10-15k pa with the combination of software and training sales.  Our consultancy services can be bought online and where not available at this current time they will be in the future.  Enquiries and requests for quotes for services are being received for these services at ~5-10 per week.  These link to our back office enquiries and CRM management system which follows their process flow from enquiry to contact.  These enquiries can result in business from £1k - £30k.  The sites allow the commercial services to interact directly with customers (B2B) and give us an online presence (like our competitors!).  The sites link into further back office functionality to provide an integrated and efficient method of bringing income into the Agency.  An online customer satisfaction survey including provision for comments on the websites is available on the site although no-one has completed this yet.  The set up cost of £50k and ~£1k annual maintainence charges are modest given the current income is ~£1.5m with more ecommerce to be offered shortly.  The websites are open source so the appropriate business service manager can amend content to keep up to date e.g. add new courses/change prices so there is no requirement for an external web management team.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.healthprotectionagency.tv/,Health Protection Agency TV,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.hfea.gov.uk/,Human Fertilisation & Embryology Authority (HFEA),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.irpanel.org.uk/,Independent Reconfiguration Panel (IRP),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.imbaprofessional.com/,Integrated Modules for Bioassay Analysis (IMBA),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.mthr.org.uk/,Mobile Telecommunications and Health Research Programme (MTHR),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.photolibrary.nhs.uk/,NHS Photo Library,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.nhsplus.nhs.uk/,NHS Plus,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.ohpa.org.uk/,Office of the Health Professions Adjudicator,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.shape.dh.gov.uk/,Shape,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DH,www.admlc.org.uk/,UK Atmospheric Dispersion Modelling Liaison Committee (ADMLC),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DWP,www.gateway.gov.uk/,Gateway Project (Office of the E-Envoy),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,FCO,www.wfd.org/,Westminster Foundation for Democracy,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HMRC,www.adjudicatorsoffice.gov.uk/,Adjudicators Office,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HMT,www.fsa.gov.uk/,Financial Services Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HMT,www.fsagraduates.com/,FSA Graduate Careers,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HMT,www.thegfp.treasury.gov.uk/,Government Finance Profession,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HMT,www.ukfi.gov.uk/,UK Financial Investments Ltd,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.bia.homeoffice.gov.uk/,Border and Immigration Agency,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.cpni.gov.uk/,Centre for the Protection of National Infrastructure (CPNI),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.cfnp.npia.police.uk/,Citizen Focus and Neighbourhood Policing,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.equalityhumanrights.com/,Equality and Human Rights Commission,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.hmic.gov.uk/,HM Inspectorates of Constabulary,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.ipcc.gov.uk/en/Pages/default.aspx,Independent Police Complaints Commission (IPCC),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.isa.homeoffice.gov.uk/,Independent Safeguarding Authority ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.ipt-uk.com/,Investigatory Powers Tribunal,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.secureyourfertiliser.gov.uk/,National Counter Terrorism Security Office (NaCTSO),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.npia.police.uk/en/home.htm,National Police Improvement Agency,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.oisc.gov.uk/,Office of the Immigration Services Commissioner (OISC),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.policerecruitment.homeoffice.gov.uk,Police Recruitment ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.soca.gov.uk/,Serious Organised Crime Agency,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.sia.homeoffice.gov.uk/Pages/home.aspx,SIA - Security Industry Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.thinkuknow.co.uk/,Think U Know - (Child Safety Cnline Campaign),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.warp.gov.uk/,"Warning, Advice and Reporting Point (WARP)",,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,HO,www.thewnc.org.uk/,Women's National Commission (WNC),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,MOD,www.science.mod.uk/,Chief Scientific Advisor,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,MOD,www.pppaservices.qinetiq-tim.com/,Defence Business Services  People Services,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.defenceconsultations.org.uk/,Defense Consultaions,,,,,,,,,,,,,0,,,,,,,,,,,,,"This site is used as an extension of functionality for www.mod.uk as the parent site is not able to perform consultations/questionnaires. It has not had any Annual User surveys run on it as it is only used as a toolset for www.mod.uk. We have tested for compliance and ammended the code where approprate to conform to standards, we are not able to manipulate the core CMS as it is on an external hosting companys website and we do not have full access. This site will be moving onto the single domain once functionality is available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,MOD,www.dftdc.org/,Defence Fire Training and Development Centre,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,MOD,www.proud2serve.net/,Proud2Serve.net,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
